callID, phoneNumber, Line, destPhoneNumber, startDate, endDate, startTime, endTime, Type, Cost
30,01650333333,1,07739000000,21/01/2014,21/01/2014,16:35:00,16:45:00,Mobile,250.0
31,01650333333,0,08450927777,22/01/2014,22/01/2014,01:55:00,02:08:00,National,104.0
32,01650333333,1,01657777777,25/01/2014,25/01/2014,16:05:00,16:23:00,Local,72.0
33,01650333333,0,08450927777,26/01/2014,26/01/2014,21:05:00,21:25:00,National,80.0
34,01650333333,0,01657777777,23/01/2014,23/01/2014,01:30:00,01:52:00,Local,88.0
35,01650333333,0,01652222222,10/02/2014,10/02/2014,18:40:00,19:26:00,Local,46.0
36,01650333333,1,01652222222,29/01/2014,29/01/2014,07:55:00,08:17:00,Local,88.0
37,01650333333,0,64000000000,08/01/2014,08/01/2014,19:10:00,19:34:00,Intl,720.0
38,01650333333,0,01652222222,30/12/2013,30/12/2013,17:45:00,18:31:00,Local,46.0
39,01650333333,0,01652222222,24/01/2014,24/01/2014,20:30:00,20:52:00,Local,88.0
40,01650333333,1,01652222222,27/01/2014,28/01/2014,23:25:00,00:11:00,Local,46.0
41,01650333333,1,01652222222,02/01/2014,02/01/2014,22:05:00,22:27:00,Local,88.0
42,01650333333,0,01652222222,12/02/2014,12/02/2014,21:35:00,21:57:00,Local,88.0
43,01650333333,0,07739000000,15/02/2014,15/02/2014,19:40:00,19:49:00,Mobile,225.0
44,01650333333,0,07739000000,03/02/2014,03/02/2014,18:35:00,18:51:00,Mobile,240.0
45,01650333333,1,07739000000,16/01/2014,16/01/2014,18:30:00,18:39:00,Mobile,225.0
46,01650333333,0,64000000000,09/02/2014,09/02/2014,18:35:00,18:59:00,Intl,600.0
47,01650333333,0,07739000000,23/02/2014,23/02/2014,21:30:00,21:46:00,Mobile,240.0
48,01650333333,0,07739000000,16/02/2014,16/02/2014,06:35:00,06:51:00,Mobile,240.0
49,01650333333,1,01652222222,19/02/2014,19/02/2014,19:40:00,19:57:00,Local,68.0
50,01650333333,0,01652222222,10/02/2014,10/02/2014,11:55:00,12:30:00,Local,35.0
51,01650333333,1,64000000000,31/01/2014,31/01/2014,17:55:00,18:14:00,Intl,570.0
52,01650333333,1,01652222222,25/01/2014,25/01/2014,20:45:00,21:02:00,Local,68.0
53,01650333333,1,08450927777,23/02/2014,23/02/2014,18:35:00,18:49:00,National,56.0
54,01650333333,0,07739000000,05/01/2014,05/01/2014,17:15:00,17:23:00,Mobile,120.0
55,01650333333,1,01657777777,21/01/2014,21/01/2014,18:05:00,18:17:00,Local,48.0
56,01650333333,0,01657777777,26/01/2014,26/01/2014,16:10:00,16:35:00,Local,25.0
57,01650333333,1,64000000000,01/02/2014,01/02/2014,20:50:00,21:04:00,Intl,420.0
58,01650333333,1,64000000000,16/02/2014,16/02/2014,14:00:00,14:19:00,Intl,475.0
59,01650333333,1,01657777777,06/01/2014,06/01/2014,21:55:00,22:20:00,Local,25.0
60,01650333333,1,01657777777,24/01/2014,24/01/2014,21:20:00,21:32:00,Local,48.0
61,01650333333,1,01657777777,03/02/2014,03/02/2014,19:30:00,19:55:00,Local,25.0
62,01650333333,1,08450927777,30/12/2013,30/12/2013,13:00:00,13:17:00,National,68.0
63,01650333333,1,01657777777,04/02/2014,04/02/2014,17:15:00,17:30:00,Local,60.0
64,01650333333,1,01657777777,19/02/2014,19/02/2014,12:05:00,12:20:00,Local,60.0
65,01650333333,1,07739000000,10/02/2014,10/02/2014,15:40:00,15:52:00,Mobile,180.0
66,01650333333,0,01657777777,07/02/2014,07/02/2014,19:15:00,19:30:00,Local,60.0
67,01650333333,1,01657777777,05/02/2014,05/02/2014,08:05:00,08:20:00,Local,60.0
68,01650333333,1,01657777777,17/02/2014,17/02/2014,07:05:00,07:36:00,Local,31.0
69,01650333333,0,08450927777,06/01/2014,06/01/2014,14:35:00,14:52:00,National,68.0
70,01650333333,0,01657777777,03/02/2014,03/02/2014,12:05:00,12:36:00,Local,31.0
71,01650333333,1,01657777777,19/01/2014,19/01/2014,14:20:00,14:51:00,Local,31.0
72,01650333333,1,64000000000,23/01/2014,23/01/2014,21:15:00,21:32:00,Intl,510.0
73,01650333333,1,01657777777,19/01/2014,19/01/2014,16:40:00,17:06:00,Local,26.0
74,01650333333,0,07739000000,20/01/2014,20/01/2014,17:05:00,17:13:00,Mobile,120.0
75,01650333333,1,08450927777,05/02/2014,05/02/2014,01:35:00,01:42:00,National,56.0
76,01650333333,1,01657777777,28/01/2014,28/01/2014,12:35:00,12:47:00,Local,48.0
77,01650333333,0,01657777777,21/02/2014,21/02/2014,21:20:00,21:32:00,Local,48.0
78,01650333333,1,01657777777,16/02/2014,16/02/2014,17:15:00,17:41:00,Local,26.0
79,01650333333,1,01657777777,23/02/2014,23/02/2014,19:55:00,20:21:00,Local,26.0
80,01650333333,1,64000000000,10/01/2014,10/01/2014,13:50:00,14:04:00,Intl,420.0
81,01650333333,0,07739000000,06/02/2014,06/02/2014,19:50:00,19:54:00,Mobile,100.0
82,01650333333,1,01657777777,23/01/2014,23/01/2014,18:55:00,19:07:00,Local,48.0
83,01650333333,0,01657777777,18/01/2014,18/01/2014,19:40:00,19:52:00,Local,48.0
84,01650333333,1,01657777777,10/01/2014,10/01/2014,22:25:00,22:40:00,Local,60.0
85,01650333333,0,01657777777,19/01/2014,19/01/2014,17:20:00,17:52:00,Local,32.0
86,01650333333,0,07739000000,08/02/2014,08/02/2014,06:40:00,06:47:00,Mobile,175.0
87,01650333333,1,01657777777,02/02/2014,02/02/2014,13:10:00,13:42:00,Local,32.0
88,01650333333,0,08450927777,24/01/2014,24/01/2014,10:15:00,10:25:00,National,80.0
89,01650333333,0,01657777777,05/01/2014,05/01/2014,21:25:00,21:57:00,Local,32.0
90,01650333333,0,01657777777,10/01/2014,10/01/2014,00:10:00,00:25:00,Local,60.0
91,01650333333,0,01657777777,17/01/2014,17/01/2014,12:05:00,12:20:00,Local,60.0
92,01650333333,0,07739000000,30/01/2014,30/01/2014,14:05:00,14:10:00,Mobile,125.0
93,01650333333,0,01652222222,30/12/2013,30/12/2013,15:20:00,15:47:00,Local,27.0
94,01650333333,0,07739000000,14/02/2014,14/02/2014,21:25:00,21:30:00,Mobile,125.0
95,01650333333,0,07739000000,25/01/2014,25/01/2014,21:45:00,21:50:00,Mobile,125.0
96,01650333333,0,01652222222,26/01/2014,26/01/2014,14:00:00,14:27:00,Local,27.0
97,01650333333,0,01652222222,19/02/2014,19/02/2014,20:15:00,20:28:00,Local,52.0
98,01650333333,1,64000000000,18/02/2014,18/02/2014,18:15:00,18:30:00,Intl,450.0
99,01650333333,1,01652222222,22/02/2014,22/02/2014,21:35:00,21:48:00,Local,52.0
100,01650333333,0,01652222222,28/01/2014,28/01/2014,19:10:00,19:23:00,Local,52.0
101,01650333333,0,07739000000,19/02/2014,19/02/2014,03:20:00,03:25:00,Mobile,125.0
102,01650333333,1,07739000000,26/01/2014,26/01/2014,18:50:00,18:59:00,Mobile,135.0
103,01650333333,0,01652222222,22/01/2014,22/01/2014,10:15:00,10:28:00,Local,52.0
104,01650333333,1,07739000000,17/02/2014,17/02/2014,00:00:00,00:09:00,Mobile,135.0
105,01650333333,0,01652222222,10/01/2014,10/01/2014,12:25:00,12:36:00,Local,44.0
106,01650333333,1,08450927777,19/02/2014,19/02/2014,04:10:00,04:16:00,National,48.0
107,01650333333,1,01652222222,08/02/2014,08/02/2014,20:30:00,20:41:00,Local,44.0
108,01650333333,0,07739000000,11/02/2014,11/02/2014,21:00:00,21:03:00,Mobile,75.0
109,01650333333,1,08450927777,05/02/2014,05/02/2014,02:00:00,02:06:00,National,48.0
110,01650333333,0,01652222222,18/02/2014,18/02/2014,12:50:00,13:01:00,Local,44.0
111,01650333333,1,01652222222,23/02/2014,23/02/2014,16:50:00,17:13:00,Local,23.0
112,01650333333,0,01652222222,12/01/2014,12/01/2014,20:15:00,20:38:00,Local,23.0
113,01650333333,0,01652222222,30/12/2013,30/12/2013,19:10:00,19:33:00,Local,23.0
114,01650333333,1,01652222222,13/01/2014,13/01/2014,19:50:00,20:13:00,Local,23.0
115,01650333333,1,07739000000,22/01/2014,22/01/2014,17:20:00,17:23:00,Mobile,75.0
116,01650333333,0,01652222222,27/01/2014,27/01/2014,20:20:00,20:43:00,Local,23.0
117,01650333333,0,08450927777,07/01/2014,07/01/2014,15:50:00,15:57:00,National,56.0
118,01650333333,1,08450927777,06/01/2014,06/01/2014,18:05:00,18:19:00,National,56.0
119,01650333333,1,07739000000,22/01/2014,22/01/2014,20:40:00,20:44:00,Mobile,100.0
120,01650333333,0,01657777777,14/01/2014,14/01/2014,17:30:00,17:42:00,Local,48.0
121,01650333333,1,64000000000,16/01/2014,16/01/2014,20:05:00,20:19:00,Intl,420.0
122,01650333333,0,01657777777,21/02/2014,21/02/2014,12:40:00,12:52:00,Local,48.0
123,01650333333,0,01657777777,10/02/2014,10/02/2014,10:25:00,10:51:00,Local,26.0
124,01650333333,0,01657777777,23/01/2014,23/01/2014,20:45:00,20:57:00,Local,48.0
125,01650333333,1,01657777777,06/02/2014,06/02/2014,20:55:00,21:11:00,Local,64.0
126,01650333333,1,08450927777,12/02/2014,12/02/2014,20:40:00,20:51:00,National,88.0
127,01650333333,1,01652222222,05/02/2014,05/02/2014,15:30:00,15:46:00,Local,64.0
128,01650333333,0,07739000000,25/01/2014,25/01/2014,22:20:00,22:28:00,Mobile,200.0
129,01650333333,1,01652222222,30/12/2013,30/12/2013,16:10:00,16:43:00,Local,33.0
130,01650333333,1,64000000000,19/01/2014,19/01/2014,18:20:00,18:43:00,Intl,575.0
131,01650333333,1,01652222222,01/01/2014,01/01/2014,21:15:00,21:31:00,Local,64.0
132,01650333333,0,08450927777,28/01/2014,28/01/2014,19:35:00,19:46:00,National,88.0
133,01650333333,0,01652222222,05/02/2014,05/02/2014,21:45:00,22:01:00,Local,64.0
134,01650333333,0,08450927777,03/02/2014,03/02/2014,14:25:00,14:43:00,National,72.0
135,01650333333,1,07739000000,03/01/2014,03/01/2014,12:05:00,12:13:00,Mobile,200.0
136,01650333333,0,07739000000,19/01/2014,19/01/2014,12:25:00,12:39:00,Mobile,210.0
137,01650333333,0,08450927777,06/01/2014,06/01/2014,16:35:00,16:53:00,National,72.0
138,01650333333,1,07739000000,04/02/2014,04/02/2014,18:10:00,18:25:00,Mobile,375.0
139,01650333333,0,01657777777,09/01/2014,09/01/2014,22:15:00,22:38:00,Local,92.0
140,01650333333,1,01657777777,20/01/2014,20/01/2014,18:45:00,19:32:00,Local,47.0
141,01650333333,0,64000000000,12/01/2014,12/01/2014,17:45:00,18:15:00,Intl,750.0
142,01650333333,0,01657777777,21/01/2014,21/01/2014,22:05:00,22:28:00,Local,92.0
143,01650333333,0,01657777777,10/01/2014,10/01/2014,21:45:00,22:08:00,Local,92.0
144,01650333333,1,01657777777,13/01/2014,13/01/2014,14:50:00,15:37:00,Local,47.0
145,01650333333,1,01657777777,06/01/2014,06/01/2014,15:10:00,15:57:00,Local,47.0
146,01650333333,0,01657777777,08/01/2014,08/01/2014,13:30:00,13:53:00,Local,92.0
147,01650333333,0,01657777777,13/01/2014,13/01/2014,16:25:00,17:12:00,Local,47.0
148,01650333333,1,01657777777,23/02/2014,23/02/2014,12:25:00,13:12:00,Local,47.0
149,01650333333,1,01657777777,16/02/2014,16/02/2014,19:45:00,20:32:00,Local,47.0
150,01650333333,0,01657777777,31/12/2013,31/12/2013,19:40:00,20:03:00,Local,92.0
151,01650333333,1,01657777777,07/02/2014,07/02/2014,21:20:00,21:43:00,Local,92.0
152,01650333333,1,01657777777,16/02/2014,16/02/2014,11:35:00,12:22:00,Local,47.0
153,01650333333,1,01657777777,31/12/2013,31/12/2013,21:10:00,21:26:00,Local,64.0
154,01650333333,0,64000000000,01/01/2014,01/01/2014,17:50:00,18:08:00,Intl,540.0
155,01650333333,0,01657777777,07/01/2014,07/01/2014,19:00:00,19:16:00,Local,64.0
156,01650333333,0,01657777777,12/01/2014,12/01/2014,05:05:00,05:39:00,Local,34.0
157,01650333333,1,01657777777,18/02/2014,18/02/2014,19:25:00,19:41:00,Local,64.0
158,01650333333,0,01657777777,06/01/2014,06/01/2014,17:00:00,17:34:00,Local,34.0
159,01650333333,1,01657777777,15/02/2014,15/02/2014,16:40:00,16:56:00,Local,64.0
160,01650333333,1,64000000000,23/02/2014,23/02/2014,16:20:00,16:43:00,Intl,575.0
161,01650333333,1,01657777777,14/02/2014,14/02/2014,10:05:00,10:21:00,Local,64.0
162,01650333333,1,01657777777,05/01/2014,05/01/2014,15:00:00,15:34:00,Local,34.0
163,01650333333,1,08450927777,22/02/2014,22/02/2014,19:40:00,19:46:00,National,48.0
164,01650333333,0,01657777777,12/01/2014,12/01/2014,20:50:00,21:14:00,Local,24.0
165,01650333333,0,01657777777,07/01/2014,07/01/2014,13:20:00,13:31:00,Local,44.0
166,01650333333,0,01657777777,01/02/2014,01/02/2014,09:05:00,09:16:00,Local,44.0
167,01650333333,1,01657777777,22/01/2014,22/01/2014,22:30:00,22:41:00,Local,44.0
168,01650333333,1,01657777777,18/01/2014,18/01/2014,11:25:00,11:36:00,Local,44.0
169,01650333333,1,01657777777,11/02/2014,11/02/2014,15:45:00,15:56:00,Local,44.0
170,01650333333,0,01657777777,11/01/2014,11/01/2014,19:35:00,19:46:00,Local,44.0
171,01650333333,1,07739000000,10/02/2014,10/02/2014,05:05:00,05:12:00,Mobile,105.0
172,01650333333,1,07739000000,13/02/2014,13/02/2014,14:05:00,14:08:00,Mobile,75.0
173,01650333333,0,01657777777,02/01/2014,02/01/2014,20:45:00,20:56:00,Local,44.0
174,01650333333,1,01657777777,10/02/2014,10/02/2014,14:20:00,14:44:00,Local,24.0
175,01650333333,1,01657777777,13/01/2014,13/01/2014,18:10:00,18:34:00,Local,24.0
176,01650333333,0,64000000000,31/12/2013,31/12/2013,14:50:00,15:03:00,Intl,390.0
177,01650333333,1,08450927777,18/02/2014,18/02/2014,15:45:00,15:52:00,National,56.0
178,01650333333,0,01657777777,06/02/2014,06/02/2014,19:25:00,19:37:00,Local,48.0
179,01650333333,0,01657777777,03/02/2014,03/02/2014,11:20:00,11:45:00,Local,25.0
180,01650333333,1,64000000000,19/01/2014,19/01/2014,21:55:00,22:14:00,Intl,475.0
181,01650333333,1,07739000000,15/02/2014,15/02/2014,12:15:00,12:19:00,Mobile,100.0
182,01650333333,1,07739000000,18/01/2014,18/01/2014,20:45:00,20:49:00,Mobile,100.0
183,01650333333,0,64000000000,17/02/2014,17/02/2014,01:35:00,01:54:00,Intl,475.0
184,01650333333,1,64000000000,30/12/2013,30/12/2013,19:35:00,19:54:00,Intl,475.0
185,01650333333,0,01657777777,15/01/2014,15/01/2014,02:05:00,02:17:00,Local,48.0
186,01650333333,0,64000000000,10/01/2014,10/01/2014,14:50:00,15:04:00,Intl,420.0
187,01650333333,0,64000000000,23/02/2014,23/02/2014,20:50:00,21:09:00,Intl,475.0
188,01650333333,1,01657777777,06/02/2014,06/02/2014,17:15:00,17:27:00,Local,48.0
189,01650333333,0,01657777777,19/01/2014,19/01/2014,12:50:00,13:15:00,Local,25.0
190,01650333333,0,07739000000,12/01/2014,12/01/2014,19:05:00,19:12:00,Mobile,105.0
191,01650333333,1,01657777777,11/02/2014,11/02/2014,20:35:00,20:47:00,Local,48.0
192,01650333333,1,01657777777,12/01/2014,12/01/2014,10:25:00,10:50:00,Local,25.0
193,01650333333,0,01657777777,16/02/2014,16/02/2014,15:40:00,16:05:00,Local,25.0
194,01650333333,0,64000000000,16/01/2014,16/01/2014,19:00:00,19:14:00,Intl,420.0
195,01650333333,0,01657777777,26/01/2014,26/01/2014,15:05:00,15:30:00,Local,25.0
196,01650333333,1,01657777777,07/01/2014,07/01/2014,21:55:00,22:14:00,Local,76.0
197,01650333333,1,64000000000,07/01/2014,07/01/2014,20:35:00,20:56:00,Intl,630.0
198,01650333333,0,01657777777,02/02/2014,02/02/2014,19:45:00,20:25:00,Local,40.0
199,01650333333,0,08450927777,20/01/2014,20/01/2014,14:15:00,14:36:00,National,84.0
200,01650333333,0,01657777777,11/02/2014,11/02/2014,18:40:00,18:59:00,Local,76.0
201,01650333333,0,01657777777,05/01/2014,05/01/2014,20:00:00,20:40:00,Local,40.0
202,01650333333,0,08450927777,14/02/2014,14/02/2014,17:50:00,18:04:00,National,112.0
203,01650333333,1,01657777777,27/01/2014,27/01/2014,16:25:00,17:05:00,Local,40.0
204,01650333333,1,08450927777,17/02/2014,17/02/2014,00:30:00,00:51:00,National,84.0
205,01650333333,1,01657777777,09/02/2014,09/02/2014,00:00:00,00:40:00,Local,40.0
206,01650333333,0,01657777777,01/01/2014,01/01/2014,20:45:00,21:04:00,Local,76.0
207,01650333333,1,01657777777,26/01/2014,26/01/2014,17:35:00,18:15:00,Local,40.0
208,01650333333,0,07739000000,16/02/2014,16/02/2014,21:05:00,21:24:00,Mobile,285.0
209,01650333333,0,01657777777,18/02/2014,18/02/2014,21:20:00,21:39:00,Local,76.0
210,01650333333,1,01657777777,11/01/2014,11/01/2014,16:35:00,16:54:00,Local,76.0
211,01650333333,0,01657777777,07/01/2014,07/01/2014,21:35:00,21:48:00,Local,52.0
212,01650333333,0,09061777777,09/02/2014,09/02/2014,12:25:00,12:28:00,PRS,150.0
213,01650333333,0,01657777777,29/01/2014,29/01/2014,20:40:00,20:53:00,Local,52.0
214,01650333333,0,01657777777,04/01/2014,04/01/2014,22:20:00,22:33:00,Local,52.0
215,01650333333,1,01657777777,05/02/2014,05/02/2014,18:55:00,19:08:00,Local,52.0
216,01650333333,1,01657777777,18/01/2014,18/01/2014,21:40:00,21:53:00,Local,52.0
217,01650333333,1,08450927777,13/01/2014,13/01/2014,14:10:00,14:25:00,National,60.0
218,01650333333,1,01657777777,05/02/2014,05/02/2014,20:20:00,20:33:00,Local,52.0
219,01650333333,1,64000000000,26/01/2014,26/01/2014,13:40:00,14:00:00,Intl,500.0
220,01650333333,1,01657777777,09/02/2014,09/02/2014,16:40:00,17:08:00,Local,28.0
221,01650333333,1,07739000000,01/01/2014,01/01/2014,12:30:00,12:35:00,Mobile,125.0
222,01650333333,0,07739000000,03/02/2014,03/02/2014,18:15:00,18:25:00,Mobile,150.0
223,01650333333,1,01652222222,01/01/2014,01/01/2014,17:25:00,17:43:00,Local,72.0
224,01650333333,1,01652222222,23/02/2014,23/02/2014,17:50:00,18:28:00,Local,38.0
225,01650333333,0,01652222222,26/01/2014,26/01/2014,16:55:00,17:33:00,Local,38.0
226,01650333333,1,64000000000,08/02/2014,08/02/2014,19:20:00,19:40:00,Intl,600.0
227,01650333333,1,01652222222,30/12/2013,30/12/2013,14:35:00,15:13:00,Local,38.0
228,01650333333,1,01652222222,03/01/2014,03/01/2014,19:05:00,19:23:00,Local,72.0
229,01650333333,1,01652222222,16/02/2014,17/02/2014,23:40:00,00:18:00,Local,38.0
230,01650333333,1,01652222222,30/01/2014,30/01/2014,19:00:00,19:18:00,Local,72.0
231,01650333333,0,08450927777,05/01/2014,05/01/2014,12:10:00,12:30:00,National,80.0
232,01650333333,1,08450927777,02/02/2014,02/02/2014,15:50:00,16:10:00,National,80.0
233,01650333333,1,01652222222,08/01/2014,08/01/2014,20:00:00,20:18:00,Local,72.0
234,01650333333,0,01652222222,19/01/2014,19/01/2014,15:20:00,15:58:00,Local,38.0
235,01650333333,1,01652222222,02/02/2014,02/02/2014,18:55:00,19:33:00,Local,38.0
236,01650333333,0,01652222222,12/02/2014,12/02/2014,19:40:00,19:58:00,Local,72.0
237,01650333333,0,01652222222,20/01/2014,20/01/2014,20:20:00,20:58:00,Local,38.0
238,01650333333,0,01652222222,24/01/2014,24/01/2014,13:40:00,13:58:00,Local,72.0
239,01650333333,0,08450927777,28/01/2014,28/01/2014,09:30:00,09:43:00,National,104.0
240,01650333333,0,01652222222,21/01/2014,21/01/2014,21:10:00,21:28:00,Local,72.0
241,01650333333,0,07739000000,15/02/2014,15/02/2014,20:15:00,20:25:00,Mobile,250.0
242,01650333333,0,08450927777,17/01/2014,17/01/2014,13:30:00,13:43:00,National,104.0
243,01650333333,1,01652222222,06/01/2014,06/01/2014,18:50:00,19:18:00,Local,28.0
244,01650333333,1,08450927777,17/01/2014,17/01/2014,21:15:00,21:23:00,National,64.0
245,01650333333,1,08450927777,04/02/2014,04/02/2014,16:20:00,16:28:00,National,64.0
246,01650333333,1,01652222222,06/02/2014,06/02/2014,16:15:00,16:28:00,Local,52.0
247,01650333333,0,01652222222,15/01/2014,15/01/2014,21:45:00,21:58:00,Local,52.0
248,01650333333,0,01652222222,13/02/2014,13/02/2014,18:30:00,18:43:00,Local,52.0
249,01650333333,1,01652222222,29/01/2014,29/01/2014,19:30:00,19:43:00,Local,52.0
250,01650333333,0,07739000000,13/01/2014,13/01/2014,19:25:00,19:35:00,Mobile,150.0
251,01650333333,0,01652222222,02/01/2014,02/01/2014,09:25:00,09:38:00,Local,52.0
252,01650333333,1,01652222222,22/01/2014,22/01/2014,22:15:00,22:28:00,Local,52.0
253,01650333333,1,01652222222,27/01/2014,27/01/2014,18:25:00,18:53:00,Local,28.0
254,01650333333,0,07739000000,08/01/2014,08/01/2014,18:35:00,18:40:00,Mobile,125.0
255,01650333333,1,08450927777,21/02/2014,21/02/2014,21:00:00,21:08:00,National,64.0
256,01650333333,1,07739000000,02/02/2014,02/02/2014,17:00:00,17:10:00,Mobile,150.0
257,01650333333,1,08450927777,08/02/2014,08/02/2014,19:50:00,19:58:00,National,64.0
258,01650333333,1,08450927777,04/02/2014,04/02/2014,15:55:00,16:03:00,National,64.0
259,01650333333,1,01652222222,10/02/2014,10/02/2014,16:45:00,17:13:00,Local,28.0
260,01650333333,1,01652222222,26/01/2014,26/01/2014,22:30:00,22:58:00,Local,28.0
261,01650333333,1,08450927777,31/01/2014,31/01/2014,20:05:00,20:13:00,National,64.0
262,01650333333,0,01657777777,11/02/2014,11/02/2014,17:20:00,17:34:00,Local,56.0
263,01650333333,0,08450927777,09/02/2014,09/02/2014,15:30:00,15:46:00,National,64.0
264,01650333333,0,01657777777,16/01/2014,16/01/2014,14:55:00,15:09:00,Local,56.0
265,01650333333,0,07739000000,06/02/2014,06/02/2014,00:05:00,00:11:00,Mobile,150.0
266,01650333333,1,01657777777,14/02/2014,14/02/2014,18:40:00,18:54:00,Local,56.0
267,01650333333,1,07739000000,05/01/2014,05/01/2014,17:30:00,17:41:00,Mobile,165.0
268,01650333333,0,64000000000,14/02/2014,14/02/2014,19:25:00,19:41:00,Intl,480.0
269,01650333333,1,01657777777,31/01/2014,31/01/2014,20:50:00,21:04:00,Local,56.0
270,01650333333,0,01657777777,07/01/2014,07/01/2014,21:00:00,21:14:00,Local,56.0
271,01650333333,0,07739000000,23/02/2014,23/02/2014,14:05:00,14:16:00,Mobile,165.0
272,01650333333,0,08450927777,08/02/2014,08/02/2014,21:15:00,21:24:00,National,72.0
273,01650333333,1,07739000000,05/01/2014,05/01/2014,17:50:00,18:01:00,Mobile,165.0
274,01650333333,1,01657777777,19/01/2014,19/01/2014,19:05:00,19:34:00,Local,29.0
275,01650333333,1,01657777777,16/01/2014,16/01/2014,20:40:00,20:54:00,Local,56.0
276,01650333333,0,64000000000,05/01/2014,05/01/2014,12:30:00,12:51:00,Intl,525.0
277,01650333333,1,07739000000,13/01/2014,13/01/2014,18:40:00,18:51:00,Mobile,165.0
278,01650333333,0,01657777777,15/02/2014,15/02/2014,21:40:00,22:01:00,Local,84.0
279,01650333333,0,01652222222,24/01/2014,24/01/2014,13:05:00,13:26:00,Local,84.0
280,01650333333,1,01652222222,05/01/2014,05/01/2014,18:20:00,19:03:00,Local,43.0
281,01650333333,0,01652222222,13/01/2014,13/01/2014,20:15:00,20:58:00,Local,43.0
282,01650333333,1,01652222222,15/01/2014,15/01/2014,21:15:00,21:36:00,Local,84.0
283,01650333333,0,08450927777,15/01/2014,15/01/2014,18:50:00,19:06:00,National,128.0
284,01650333333,0,07739000000,04/02/2014,04/02/2014,17:35:00,17:48:00,Mobile,325.0
285,01650333333,0,01652222222,10/02/2014,10/02/2014,13:15:00,13:58:00,Local,43.0
286,01650333333,0,01652222222,22/02/2014,22/02/2014,18:20:00,18:41:00,Local,84.0
287,01650333333,0,01652222222,12/02/2014,12/02/2014,16:35:00,16:56:00,Local,84.0
288,01650333333,1,01652222222,30/12/2013,30/12/2013,13:45:00,14:28:00,Local,43.0
289,01650333333,0,01652222222,02/02/2014,02/02/2014,21:55:00,22:38:00,Local,43.0
290,01650333333,1,01652222222,02/02/2014,02/02/2014,13:55:00,14:38:00,Local,43.0
291,01650333333,0,01652222222,19/01/2014,19/01/2014,20:10:00,20:53:00,Local,43.0
292,01650333333,1,01652222222,02/02/2014,02/02/2014,10:25:00,11:08:00,Local,43.0
293,01650333333,0,08450927777,24/01/2014,24/01/2014,20:55:00,21:11:00,National,128.0
